ZIP,State,County,Date Sent,Assigned List,Assigned Agency,Report Month,Estimated Population,Estimated Lead Volume
34772,FL,Saint Cloud Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,298.0,298.0
33541,FL,Zephyrhills Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,142.0,142.0
32404,FL,Panama City Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,370.0,370.0
32578,FL,Niceville Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,164.0,164.0
34231,FL,Sarasota Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,309.0,309.0
33579,FL,Riverview Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,254.0,254.0
32955,FL,Rockledge Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,159.0,159.0
33647,FL,Tampa Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,270.0,270.0
33578,FL,Riverview Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,242.0,242.0
32084,FL,Saint Augustine Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,350.0,350.0
33433,FL,Boca Raton Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,310.0,310.0
32908,FL,Palm Bay Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,195.0,195.0
32904,FL,Melbourne Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,155.0,155.0
32536,FL,Crestview Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,170.0,170.0
32312,FL,Tallahassee Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,140.0,140.0
32724,FL,Deland Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,246.0,246.0
33437,FL,Boynton Beach Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,364.0,364.0
34668,FL,Port Richey Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,307.0,307.0
32828,FL,Orlando Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,169.0,169.0
32738,FL,Deltona Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,149.0,149.0
33411,FL,West Palm Beach Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,438.0,438.0
32073,FL,Orange Park Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,124.0,124.0
33024,FL,Hollywood Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,219.0,219.0
32086,FL,Saint Augustine Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,210.0,210.0
33545,FL,Wesley Chapel Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,219.0,219.0
33511,FL,Brandon Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,140.0,140.0
32746,FL,Lake Mary Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,161.0,161.0
33624,FL,Tampa Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,93.0,93.0
33434,FL,Boca Raton Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,260.0,260.0
33982,FL,Punta Gorda Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,198.0,198.0
32713,FL,Debary Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,104.0,104.0
34683,FL,Palm Harbor Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,172.0,172.0
32246,FL,Jacksonville Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,125.0,125.0
32506,FL,Pensacola Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,151.0,151.0
34286,FL,North Port Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,211.0,211.0
33713,FL,Saint Petersburg Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,137.0,137.0
34275,FL,Nokomis Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,258.0,258.0
34481,FL,Ocala Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,557.0,557.0
32935,FL,Melbourne Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,202.0,202.0
32211,FL,Jacksonville Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,70.0,70.0
32792,FL,Winter Park Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,139.0,139.0
32547,FL,Fort Walton Beach Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,137.0,137.0
33810,FL,Lakeland Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,156.0,156.0
34465,FL,Beverly Hills Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,180.0,180.0
32003,FL,Fleming Island Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,78.0,78.0
33525,FL,Dade City Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,139.0,139.0
33618,FL,Tampa Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,101.0,101.0
33971,FL,Lehigh Acres Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,418.0,418.0
33598,FL,Wimauma Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,240.0,240.0
33991,FL,Cape Coral Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,308.0,308.0
34952,FL,Port Saint Lucie Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,277.0,277.0
33710,FL,Saint Petersburg Zip Market,2026-06-18,List A,SPEED DIALS,2026-06,163.0,163.0
