State,County,ZIP,ZIP Score,Pending Ratio,Active Listing Count,Pending Listing Count,Estimated Population,Estimated Lead Volume,Median Listing Price,Median Days on Market,Price Decrease Count,Recommended Home Value Range,Last Used Date,Eligible Based on Cooldown,Manual Review Flag
AL,Montgomery Zip Market,36110,40.23,0.40540540540540543,37,15.0,37.0,37.0,72000.0,72.0,4.0,$75k-$99k,,True,
AL,Cropwell Zip Market,35054,32.72,0.35135135135135137,37,13.0,37.0,37.0,408813.0,83.0,4.0,$215k-$350k,,True,
AL,Troy Zip Market,36079,32.64,0.25,36,9.0,36.0,36.0,338225.0,78.0,6.0,$178k-$350k,,True,
AL,Sterrett Zip Market,35147,28.65,0.3888888888888889,36,14.0,36.0,36.0,452400.0,89.0,8.0,$238k-$350k,,True,
AL,Mobile Zip Market,36619,60.03,0.9714285714285714,35,34.0,35.0,35.0,279450.0,64.0,20.0,$147k-$350k,,True,
AL,Birmingham Zip Market,35222,49.64,0.6285714285714286,35,22.0,35.0,35.0,394900.0,58.0,14.0,$207k-$350k,,True,
AL,Montgomery Zip Market,36108,48.97,0.4,35,14.0,35.0,35.0,81750.0,48.0,18.0,$75k-$112k,,True,
AL,Huntsville Zip Market,35816,49.08,0.38235294117647056,34,13.0,34.0,34.0,178725.0,53.0,12.0,$94k-$245k,,True,
AL,Athens Zip Market,35614,41.16,0.2647058823529412,34,9.0,34.0,34.0,310875.0,53.0,16.0,$163k-$350k,,True,
AL,Dora Zip Market,35062,38.61,0.23529411764705882,34,8.0,34.0,34.0,269925.0,71.0,16.0,$142k-$350k,,True,
AL,Fairfield Zip Market,35064,37.87,0.29411764705882354,34,10.0,34.0,34.0,82400.0,67.0,10.0,$75k-$113k,,True,
AL,Clanton Zip Market,35046,29.76,0.17647058823529413,34,6.0,34.0,34.0,375000.0,63.0,8.0,$197k-$350k,,True,
AL,Atmore Zip Market,36502,51.96,0.45454545454545453,33,15.0,33.0,33.0,184900.0,45.0,6.0,$97k-$253k,,True,
AL,Pleasant Grove Zip Market,35127,45.87,0.375,32,12.0,32.0,32.0,230450.0,60.0,8.0,$121k-$316k,,True,
AL,Russellville Zip Market,35653,37.28,0.3125,32,10.0,32.0,32.0,264900.0,106.0,8.0,$139k-$350k,,True,
AL,Silverhill Zip Market,36576,57.69,0.8709677419354839,31,27.0,31.0,31.0,319425.0,44.0,12.0,$168k-$350k,,True,
